state,district,college_name
Andhra Pradesh,,Satavahana University
Gujarat,Rajkot,Saurashtra University
Jammu and Kashmir,Srinagar,Sher-e-Kashmir University of Agricultural Science & Technology
Maharashtra,,Shivaji University
Kerala,,Shree Sankaracharaya University of Sanskrit
Gujarat,,Shree Somnath Sanskrit University
Odisha,,Shri Jagannath Sanskrit Vishwavidyalaya
Jammu and Kashmir,Jammu,Shri Mata Vaishno Devi University
Andhra Pradesh,,Sri krishnadevaraya University
Jharkhand,,Sido Kanhu University
Maharashtra,Mumbai City,Smt. Nathibai Damodar Thackersey Women's University
Maharashtra,Pune,Solapur University
Gujarat,Surat,Veer Narmad South Gujarat University
Andhra Pradesh,,Sri Padmavati Mahila Vishwavidyalayam
Andhra Pradesh,,Sri Venkateswara University
Andhra Pradesh,,Sri Venkateswara Vedic University
Andhra Pradesh,,Sri Venkateswara Veterinary University
Maharashtra,,Swami Ramanand Teerth Marathwada University
Bihar,,T.M. Bhagalpur University
Tamil Nadu,Chennai,Tamil Nadu Open University
Tamil Nadu,Chennai,Tamil Nadu Teacher Education University
Tamil Nadu,,Tamil University
Tamil Nadu,Coimbatore,Tamilnadu Agricultural University
Tamil Nadu,Chennai,Tamilnadu Dr. Ambedkar Law University
Tamil Nadu,Chennai,Tamilnadu Dr. M.G.R.Medical University
Tamil Nadu,Chennai,Tamilnadu Physical Educaton and Sports University
Tamil Nadu,Chennai,Tamilnadu Veterinary & Animal Sciences University
Andhra Pradesh,,Telangana University
Punjab,,The Rajiv Gandhi National University of Law
Maharashtra,Nagpur,The Rashtrasant Tukadoji Maharaj Nagpur University
Tamil Nadu,,Thiruvalluvar University
Karnataka,,Tumkur University
Uttar Pradesh,Lucknow,U.P.King George's University of Dental Sciences
Uttar Pradesh,Prayagraj,U.P. Rajarshi Tandon Open University
Karnataka,Bengaluru Urban,University of Agricultural Sciences
Karnataka,Dharwad,University of Agricultural Sciences
Rajasthan,Kota,University of Kota
Odisha,Khordha,Utkal University
Odisha,Khordha,Utkal University of Culture
Uttar Pradesh,Lucknow,Dr. A.P.J. Abdul Kalam Technical University
Uttarakhand,Delhi,Uttarakhand Sanskrit University
Uttarakhand,,Uttarakhand Technical University
Rajasthan,Kota,Vardhman Mahaveer Open University
Uttar Pradesh,,Veer Bahadur Singh Purvanchal University
Bihar,,Veer Kunwar Singh University
Odisha,,Veer Surendra Sai University of Technology
Karnataka,Belagavi,Vesveswaraiah Technological University
Andhra Pradesh,,Vikrama Simhapuri University
Madhya Pradesh,,Vikram University
Jharkhand,,Vinoba Bhave University
Maharashtra,,Yashwant Rao Chavan Maharashtra Open University
Andhra Pradesh,,Yogi Vemana University
