state,district,college_name
Maharashtra,Pune,"Genba Sopanrao Moze Trusts Genba Sopanrao Moze Adhyapak Mahavidyalaya,Pune"
Maharashtra,Solapur,"SHRIRAM COLLEGE OF AGRICULTURE, PANIV"
Maharashtra,Solapur,"SHRIRAM COLLEGE OF AGRICULTURAL ENGINEERING, PANIV"
West Bengal,Kolkata,Sanskrit College
Chhatisgarh,Bilaspur,"Govt. Navin College, Sargaon"
Gujarat,Vadodara,Moraraji Desai Institute of Naturopathy and Yogic Sciences
Gujarat,Vadodara,Smt. M. K. Sanghvi Homeopathic Medical College
Bihar,Patna,"Basudev Skt.College,Akbarpur"
Maharashtra,Nagpur,"Sree Baburaoji Tidke Teachers College, Mauda"
Gujarat,Anand,"Natubhai Revabhai Patel B.Ed (Co Ed) College, Karamsad"
Gujarat,Junagadh,JUNAGADH KELVANI MANDAL B.ED.COLLEGE-JUNAGADH
Gujarat,Surendranagar,"GOVERNMENT ARTS COLLEGE, CHOTILA"
Gujarat,Vadodara,Sigma Institute of Technology & Engg.( Polytechnic)
Gujarat,Junagadh,SHRI M.M.GHODASARA MAHILA ARTS & COMM.COLLEGE-JUNAGADH
Gujarat,Surat,"Shri SWAMI ATMANAND SARASWATI INSTITUTE OF TECH., SURAT"
Maharashtra,Pune,"Jaywant Shikshan Prarsark Mandals Rajarshi Shahu College of Education Sr.No.80/2, Pune Mumbai Bypass Highway, Tathwade,Pune 411"
Gujarat,Mehsana,MERCHANT COLLEGE OF MANAG STUDI & RESEARCH (BBA)
Gujarat,Mehsana,"Maniben M.P.Shah Mahila Arts College, Kadi"
Maharashtra,Nanded,"POTDAR COLLEGE, DHANGARWADI, LATUR ROAD"
Gujarat,Ahmedabad,"Institute of Law, Nirma University"
Gujarat,Panch Mahals,Shri Tejendraprasadji Swaminarayan Arts College
Gujarat,Mehsana,"SHREE KRISHNA INSTITUTE OF PHARMACY, SHANKHALPUR"
Gujarat,Gandhinagar,"H. B. Patel Institute of Diploma Engineering & Technology, Limbodara, Lunavada"
Gujarat,Valsad,"Government Arts College, Kaprada, Valsad"
Uttar Pradesh,Kanpur Dehat,"KASHIRAM RATIRAM MAHAVIDYALAYA, UMARPUR"
Haryana,Jhajjar,Ganga Institute of Architecture & Town Planning Village
Maharashtra,Kolhapur,"R.B.Madkholkar College, CHANDGAD"
Maharashtra,Pune,"PEOPLES EMPOWERMENT GROUPS ISB&M SCHOOL OF TECHNOLOGY, NANDE VILLAGE, MULSHI"
